# ID;Type;Item;Block;Name
0;empty;false;false;empty
1;ground;false;false;Ground
2;ground;false;true;Wall
3;ground;false;false;Ground
4;ground;false;true;Wall
5;ground;false;false;Ground
6;ground;false;true;Wall
7;ground;false;false;Ground
8;ground;false;false;Ground
9;ground;false;false;Ground
10;ground;false;false;Ground
11;ground;false;false;Ground
12;ground;false;false;Ground
13;ground;false;false;Ground
14;floor;false;false;Floor
15;ground;false;false;Ground
16;ground;false;false;Ground
17;ground;false;false;Ground
18;ground;false;false;Ground
19;ground;false;false;Ground
20;ground;false;false;Ground
21;ground;false;false;Ground
22;ground;false;false;Ground
23;ground;false;false;Ground
24;ground;false;false;Ground
25;ground;false;false;Ground
26;ground;false;false;Ground
27;ground;false;false;Ground
28;ground;false;false;Ground
29;ground;false;false;Ground
30;ground;false;false;Ground
31;ground;false;false;Ground
32;ground;false;false;Ground
33;ground;false;false;Ground
34;ground;false;false;Ground
35;ground;false;false;Ground
36;ground;false;false;Ground
37;ground;false;false;Ground
38;ground;false;false;Ground
39;ground;false;false;Ground
40;ground;false;false;Ground
41;ground;false;false;Ground
42;ground;false;false;Ground
43;ground;false;false;Ground
44;ground;false;false;Ground
45;ground;false;false;Ground
46;ground;false;false;Ground
47;ground;false;false;Ground
48;ground;false;false;Ground
49;ground;false;false;Ground
50;ground;false;false;Ground
51;ground;false;false;Ground
52;ground;false;false;Ground
53;ground;false;false;Ground
54;ground;false;false;Ground
55;ground;false;false;Ground
56;ground;false;false;Ground
57;ground;false;false;Ground
58;ground;false;false;Ground
59;ground;false;false;Ground
60;ground;false;false;Ground
61;ground;false;false;Ground
62;ground;false;false;Ground
63;ground;false;false;Ground
64;ground;false;false;Ground
65;ground;false;false;Ground
66;ground;false;false;Ground
67;ground;false;false;Ground
68;ground;false;false;Ground
69;ground;false;false;Ground
70;ground;false;false;Ground
71;ground;false;false;Ground
72;ground;false;false;Ground
73;ground;false;false;Ground
74;ground;false;false;Ground
75;ground;false;false;Ground
76;ground;false;false;Ground
77;ground;false;false;Ground
78;ground;false;false;Ground
79;ground;false;false;Ground
80;ground;false;false;Ground
81;ground;false;false;Ground
82;ground;false;false;Ground
83;ground;false;false;Ground
84;ground;false;false;Ground
85;ground;false;false;Ground
86;ground;false;false;Ground
87;ground;false;false;Ground
88;ground;false;false;Ground
89;ground;false;false;Ground
90;ground;false;false;Ground
91;ground;false;false;Ground
92;ground;false;false;Ground
93;ground;false;false;Ground
94;ground;false;false;Ground
95;ground;false;false;Ground
96;ground;false;false;Ground
97;ground;false;false;Ground
98;ground;false;false;Ground
99;ground;false;false;Ground
100;ground;false;false;Ground
101;ground;false;false;Ground
102;ground;false;false;Ground
103;ground;false;false;Ground
104;ground;false;false;Ground
105;ground;false;false;Ground
106;ground;false;false;Ground
107;ground;false;false;Ground
108;ground;false;false;Ground
109;ground;false;false;Ground
110;ground;false;false;Ground
111;ground;false;false;Ground
112;ground;false;false;Ground
113;ground;false;false;Ground
114;ground;false;false;Ground
115;ground;false;false;Ground
116;ground;false;false;Ground
117;ground;false;false;Ground
118;ground;false;false;Ground
119;ground;false;false;Ground
120;ground;false;false;Ground
121;ground;false;false;Ground
122;ground;false;false;Ground
123;ground;false;false;Ground
124;ground;false;false;Ground
125;ground;false;false;Ground
126;ground;false;false;Ground
127;ground;false;false;Ground
128;ground;false;false;Ground
129;door;false;false;Door
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
195;;;;
196;;;;
197;;;;
198;;;;
199;;;;
200;;;;
201;;;;
202;;;;
203;;;;
204;;;;
205;;;;
206;;;;
207;;;;
208;;;;
209;;;;
210;;;;
211;;;;
212;;;;
213;;;;
214;;;;
215;;;;
216;;;;
217;;;;
218;;;;
219;;;;
220;;;;
221;;;;
222;;;;
223;;;;
224;;;;
225;;;;
226;;;;
227;;;;
228;;;;
229;;;;
230;;;;
231;;;;
232;;;;
233;;;;
234;;;;
235;;;;
236;;;;
237;;;;
238;;;;
239;;;;
240;;;;
241;;;;
242;;;;
243;;;;
244;;;;
245;;;;
246;;;;
247;;;;
248;;;;
249;;;;
250;;;;
251;;;;
252;;;;
253;;;;
254;;;;
255;;;;
256;;;;
257;;;;
258;;;;
259;;;;
260;;;;
261;;;;
262;;;;
263;;;;
264;;;;
265;;;;
266;;;;
267;;;;
268;;;;
269;;;;
270;;;;
271;;;;
272;;;;
273;;;;
274;;;;
275;;;;
276;;;;
277;;;;
278;;;;
279;;;;
280;;;;
281;;;;
282;;;;
283;;;;
284;;;;
285;;;;
286;;;;
287;;;;
288;;;;
289;;;;
290;;;;
291;;;;
292;;;;
293;;;;
294;;;;
295;;;;
296;;;;
297;;;;
298;;;;
299;;;;
300;;;;
301;;;;
302;;;;
303;;;;
304;;;;
305;;;;
306;;;;
307;;;;
308;;;;
309;;;;
310;;;;
311;;;;
312;;;;
313;;;;
314;;;;
315;;;;
316;;;;
317;;;;
318;;;;
319;;;;
320;;;;
321;;;;
322;;;;
323;;;;
324;;;;
325;;;;
326;;;;
327;;;;
328;;;;
329;;;;
330;;;;
331;;;;
332;;;;
333;;;;
334;;;;
335;;;;
336;;;;
337;;;;
338;;;;
339;;;;
340;;;;
341;;;;
342;;;;
343;;;;
344;;;;
345;;;;
346;;;;
347;;;;
348;;;;
349;;;;
350;;;;
351;;;;
352;;;;
353;;;;
354;;;;
355;;;;
356;;;;
357;;;;
358;;;;
359;;;;
360;;;;
361;;;;
362;;;;
363;;;;
364;;;;
365;;;;
366;;;;
367;;;;
368;;;;
369;;;;
370;;;;
371;;;;
372;;;;
373;;;;
374;;;;
375;;;;
376;;;;
377;;;;
378;;;;
379;;;;
380;;;;
381;;;;
382;;;;
383;;;;
384;;;;
385;;;;
386;;;;
387;;;;
388;;;;
389;;;;
390;;;;
391;;;;
392;;;;
393;;;;
394;;;;
395;;;;
396;;;;
397;;;;
398;;;;
399;;;;
400;;;;
401;;;;
402;;;;
403;;;;
404;;;;
405;;;;
406;;;;
407;;;;
408;;;;
409;;;;
410;;;;
411;;;;
412;;;;
413;;;;
414;;;;
415;;;;
416;;;;
417;;;;
418;;;;
419;;;;
420;;;;
421;;;;
422;;;;
423;;;;
424;;;;
425;;;;
426;;;;
427;;;;
428;;;;
429;;;;
430;;;;
431;;;;
432;;;;
433;;;;
434;;;;
435;;;;
436;;;;
437;;;;
438;;;;
439;;;;
440;;;;
441;;;;
442;;;;
443;;;;
444;;;;
445;;;;
446;;;;
447;;;;
448;;;;
449;;;;
450;;;;
451;;;;
452;;;;
453;;;;
454;;;;
455;;;;
456;;;;
457;;;;
458;;;;
459;;;;
460;;;;
461;;;;
462;;;;
463;;;;
464;;;;
465;;;;
466;;;;
467;;;;
468;;;;
469;;;;
470;;;;
471;;;;
472;;;;
473;;;;
474;;;;
475;;;;
476;;;;
477;;;;
478;;;;
479;;;;
480;;;;
481;;;;
482;;;;
483;;;;
484;;;;
485;;;;
486;;;;
487;;;;
488;;;;
489;;;;
490;;;;
491;;;;
492;;;;
493;;;;
494;;;;
495;;;;
496;;;;
497;;;;
498;;;;
499;;;;
500;;;;
501;;;;
502;;;;
503;;;;
504;;;;
505;;;;
506;;;;
507;;;;
508;;;;
509;;;;
510;;;;
511;;;;
512;;;;
513;tree;false;true;Tree
514;;;;
515;;;;
516;;;;
517;;;;
518;;;;
519;;;;
520;;;;
521;;;;
522;;;;
523;;;;
524;;;;
525;;;;
526;;;;
527;;;;
528;;;;
529;;;;
530;;;;
531;;;;
532;;;;
533;;;;
534;;;;
535;;;;
536;;;;
537;;;;
538;;;;
539;;;;
540;;;;
541;;;;
542;;;;
543;;;;
544;;;;
545;stone;false;true;Stone
546;stone;false;true;Stone
547;;;;
548;;;;
549;;;;
550;;;;
551;;;;
552;;;;
553;;;;
554;;;;
555;;;;
556;;;;
557;;;;
558;;;;
559;;;;
560;;;;
561;;;;
562;;;;
563;;;;
564;;;;
565;;;;
566;;;;
567;;;;
568;;;;
569;;;;
570;;;;
571;;;;
572;;;;
573;;;;
574;;;;
575;;;;
576;;;;
577;wall;false;true;Wall
578;wall;false;true;Wall
579;;;;
580;;;;
581;;;;
582;;;;
583;;;;
584;;;;
585;;;;
586;;;;
587;;;;
588;;;;
589;;;;
590;;;;
591;;;;
592;;;;
593;wall;false;true;Wall
594;wall;false;true;Wall
595;;;;
596;;;;
597;;;;
598;;;;
599;;;;
600;;;;
601;;;;
602;;;;
603;;;;
604;;;;
605;;;;
606;;;;
607;;;;
608;;;;
609;;;;
610;;;;
611;;;;
612;;;;
613;;;;
614;;;;
615;;;;
616;;;;
617;;;;
618;;;;
619;;;;
620;;;;
621;;;;
622;;;;
623;;;;
624;;;;
625;;;;
626;;;;
627;;;;
628;;;;
629;;;;
630;;;;
631;;;;
632;;;;
633;;;;
634;;;;
635;;;;
636;;;;
637;;;;
638;;;;
639;;;;
640;;;;
641;plant;true;false;Plant
642;plant;true;false;Plant
643;plant;true;false;Plant
644;plant;true;false;Plant
645;plant;true;false;Plant
646;plant;true;false;Plant
647;plant;true;false;Log
648;plant;false;false;Root
649;;;;
650;;;;
651;;;;
652;;;;
653;;;;
654;;;;
655;;;;
656;;;;
657;;;;
658;;;;
659;;;;
660;;;;
661;;;;
662;;;;
663;;;;
664;;;;
665;;;;
666;;;;
667;;;;
668;;;;
669;;;;
670;;;;
671;;;;
672;;;;
673;;;;
674;;;;
675;;;;
676;;;;
677;;;;
678;;;;
679;;;;
680;;;;
681;;;;
682;;;;
683;;;;
684;;;;
685;;;;
686;;;;
687;;;;
688;;;;
689;;;;
690;;;;
691;;;;
692;;;;
693;;;;
694;;;;
695;;;;
696;;;;
697;;;;
698;;;;
699;;;;
700;;;;
701;;;;
702;;;;
703;;;;
704;;;;
705;;;;
706;;;;
707;;;;
708;;;;
709;;;;
710;;;;
711;;;;
712;;;;
713;;;;
714;;;;
715;;;;
716;;;;
717;;;;
718;;;;
719;;;;
720;;;;
721;;;;
722;;;;
723;;;;
724;;;;
725;;;;
726;;;;
727;;;;
728;;;;
729;;;;
730;;;;
731;;;;
732;;;;
733;;;;
734;;;;
735;;;;
736;;;;
737;;;;
738;;;;
739;;;;
740;;;;
741;;;;
742;;;;
743;;;;
744;;;;
745;;;;
746;;;;
747;;;;
748;;;;
749;;;;
750;;;;
751;;;;
752;;;;
753;;;;
754;;;;
755;;;;
756;;;;
757;;;;
758;;;;
759;;;;
760;;;;
761;;;;
762;;;;
763;;;;
764;;;;
765;;;;
766;;;;
767;;;;
768;;;;